ПІБ,Пільги,Бал з математики,Бал з англійської,Бал з української,Рейтинг,Рішення
Вікторія Вікторіш,False,195,198,192,195.0,зараховано
Олег Артеміш,False,190,194,197,193.29999999999998,зараховано
Наталія Іванниш,False,191,193,193,192.20000000000002,зараховано
Анастасія Маріїш,False,200,191,180,191.3,зараховано
Катерина Олегіш,False,192,185,193,190.20000000000002,зараховано
Вікторія Дмитришенко,False,185,197,187,189.2,зараховано
Олег Софіїш,False,193,198,175,189.1,зараховано
Іван Романіш,False,172,197,200,187.89999999999998,зараховано
Дмитро Анниш,False,195,169,196,187.5,зараховано
Ніна Іваниш,False,197,186,173,186.50000000000003,зараховано
Олег Анатоліїш,False,167,198,200,186.2,зараховано
Анастасія Неборачко,False,195,199,159,185.39999999999998,зараховано
Іван Петріш,False,199,174,178,185.20000000000002,зараховано
Ганна Ковтун,False,183,183,189,184.79999999999998,зараховано
Андрій Товтиш,False,171,196,189,183.9,зараховано
Олена Петріш,False,191,161,197,183.8,зараховано
Лідія Олениш,False,197,166,182,183.20000000000002,зараховано
Катерина Людмилиш,False,178,184,189,183.1,зараховано
Вікторія Ковтун,False,185,173,190,182.9,зараховано
Оксана Романіш,False,182,186,179,182.29999999999998,зараховано
Олена Людмилиш,False,196,146,200,182.2,зараховано
Андрій Олександріш,False,186,177,180,181.5,зараховано
Вікторія Сергіїш,False,192,147,199,180.6,зараховано
Віктор Загвойко,False,197,200,139,180.5,зараховано
Олексій Ганниш,False,185,190,164,180.2,зараховано
Іван Ілляш,False,179,200,159,179.3,зараховано
Наталія Олександріш,False,158,196,190,179.0,зараховано
Роман Загвойко,False,184,192,159,178.89999999999998,зараховано
Олена Олегіш,False,177,194,165,178.5,зараховано
Олена Вікторіїш,False,196,157,176,178.3,зараховано
Анастасія Ілляш,False,167,183,188,178.1,зараховано
Сергій Алібіба,False,192,142,194,177.6,зараховано
Оксана Ярославіш,True,177,169,187,177.6,зараховано
Михайло Тетяниш,True,155,193,192,177.5,зараховано
Анастасія Олександріш,False,169,195,171,177.4,зараховано
Лідія Тарасіш,False,189,150,189,177.3,зараховано
Павло Ніниш,True,194,200,132,177.20000000000002,зараховано
Лідія Ярославиш,False,199,152,173,177.10000000000002,зараховано
Богдан Тетяниш,True,186,175,167,177.0,зараховано
Максим Людмилиш,False,186,146,196,177.0,зараховано
Олександр Михайлиш,True,158,199,180,176.9,зараховано
Оксана Ніниш,True,161,180,195,176.9,зараховано
Віктор Артеміш,False,200,137,186,176.89999999999998,зараховано
Наталія Наталіїш,True,172,200,160,176.8,зараховано
Ярослав Маріїш,False,164,182,188,176.60000000000002,зараховано
Роман Ілляш,False,162,195,177,176.4,зараховано
Наталія Ганниш,True,170,198,163,176.3,зараховано
Олександр Людмилиш,True,174,162,193,176.10000000000002,зараховано
Дмитро Дмитришенко,True,177,190,161,176.1,зараховано
Ірина Софіїш,True,197,181,143,176.00000000000003,зараховано
Петро Дмитришенко,False,167,163,200,175.7,зараховано
Ярослава Ганниш,False,180,175,170,175.5,зараховано
Богдан Вікторіїш,True,196,143,180,175.3,зараховано
Олена Іваниш,True,199,130,189,175.3,зараховано
Петро Дмитріш,True,195,139,185,175.2,зараховано
Роман Ніниш,False,169,173,185,175.0,зараховано
Олена Дмитришенко,True,162,182,185,174.9,зараховано
Ганна Ганниш,True,188,164,168,174.8,зараховано
Анастасія Володимириш,True,196,138,183,174.70000000000002,зараховано
Ігор Лідіїш,False,153,187,191,174.60000000000002,зараховано
Ярослав Ярославіш,True,200,118,197,174.5,зараховано
Богдан Ярославиш,True,163,195,169,174.4,зараховано
Анастасія Максиміш,True,187,168,164,174.39999999999998,зараховано
Ігор Тарасіш,True,189,175,154,174.3,зараховано
Максим Ілляш,False,191,129,197,174.2,зараховано
Тетяна Наталіїш,False,175,179,168,174.1,зараховано
Віктор Товтиш,True,193,151,172,174.1,зараховано
Людмила Олегіш,False,194,171,150,173.9,зараховано
Дмитро Вікторіїш,False,185,134,199,173.89999999999998,зараховано
Юлія Вікторіш,True,166,160,198,173.8,зараховано
Дмитро Загвойко,False,184,151,183,173.8,зараховано
Петро Ганниш,True,178,154,188,173.8,зараховано
Тарас Катериниш,True,190,138,188,173.8,зараховано
Сергій Ілляш,False,156,198,173,173.70000000000002,зараховано
Ярослав Дмитріш,True,150,200,179,173.7,зараховано
Артем Ніниш,True,194,191,129,173.6,зараховано
Тетяна Лідіїш,True,199,182,131,173.5,зараховано
Павло Олегіш,False,163,183,178,173.5,зараховано
Анатолій Ілляш,True,180,153,185,173.4,зараховано
Марія Ігоріш,True,189,188,138,173.4,зараховано
Анастасія Оксаниш,False,162,178,184,173.39999999999998,зараховано
Ілля Іваниш,False,158,170,197,173.3,зараховано
Павло Лідіїш,True,146,200,183,173.3,зараховано
Анатолій Загвойко,True,194,134,185,173.3,зараховано
Максим Лідіїш,True,158,176,190,173.0,зараховано
Павло Катериниш,True,155,170,200,173.0,зараховано
Ганна Маріїш,False,158,182,184,173.0,зараховано
Дмитро Михайлиш,False,159,164,200,172.8,зараховано
Володимир Софіїш,False,186,166,162,172.8,зараховано
Максим Софіїш,False,195,120,196,172.8,зараховано
Іван Артеміш,True,199,137,173,172.60000000000002,зараховано
Юлія Маріїш,False,196,124,190,172.6,зараховано
Вікторія Ганниш,False,174,166,177,172.5,зараховано
Ілля Тарасіш,False,162,177,182,172.5,зараховано
Михайло Анатоліїш,False,182,183,149,172.39999999999998,зараховано
Оксана Ганниш,False,183,152,178,172.20000000000002,зараховано
